Movie;MMAstring2;idimdb;Writers;Runtime;Filming_locations;Poster 1;Plot_simple;Actors;Directors;IMDBurl;Genres;Rating;Year;Distributor;Gross;Release
The Illusionist (2010);;tt0443543;Neil Burger,Steven Millhauser;110 min;Cesky Krumlov, Czech Republic;http://imdb-poster.b0.upaiyun.com/000/443/543.jpg!cover?_upt=66faf86d1383795922;In turn-of-the-century Vienna, a magician uses his abilities to secure the love of a woman far above his social standing.;Edward Norton,Paul Giamatti,Jessica Biel,Rufus Sewell,Eddie Marsan,Jake Wood,Tom Fisher,Aaron Taylor-Johnson,Eleanor Tomlinson,Karl Johnson,Vincent Franklin,Nicholas Blane,Philip McGough,Erich Redman,Michael Carter;Neil Burger;http://www.imdb.com/title/tt0443543/;Drama,Mystery,Romance,Thriller;7.6;2010;n/a;148313;12-23-2010
Che. Un hombre nuevo;;tt1736558;Tristán Bauer,Carolina Scaglione;124 min;;;;;Tristán Bauer;http://www.imdb.com/title/tt1736558/;Documentary;8.2;2010;Distribution;140615;10-07-2010
New York, I Love You;;tt0808399;Hu Hong,Yao Meng;103 min;Fifth Avenue, Manhattan, New York City, New York, USA;http://imdb-poster.b0.upaiyun.com/000/808/399.jpg!cover?_upt=9756b1dd1383795923;Several love stories set in one of the most loved cities of the world, New York.;Bradley Cooper,Justin Bartha,Andy Garcia,Hayden Christensen,Rachel Bilson,Natalie Portman,Irrfan Khan,Emilie Ohana,Orlando Bloom,Christina Ricci,Maggie Q,Ethan Hawke,Anton Yelchin,James Caan,Olivia Thirlby;Fatih Akin,Yvan Attal;http://www.imdb.com/title/tt0808399/;Comedy,Drama,Romance;6.3;2010;Alfa;137848;06-17-2010
Mademoiselle Chambon;;tt1285246;Stéphane Brizé,Florence Vignon;101 min;Marseille, Bouches-du-Rhône, France;http://imdb-poster.b0.upaiyun.com/001/285/246.jpg!cover?_upt=c4fc793e1383795924;Jean, his loving wife and son live a simple, happy life. At his son's homeroom teacher Madamoiselle Chambon's request, he volunteers as substitute teacher and starts to fall for her ...;Vincent Lindon,Sandrine Kiberlain,Aure Atika,Jean-Marc Thibault,Arthur Le Houérou,Bruno Lochet,Abdellah Moundy,Michelle Goddet,Anne Houdy,Geneviève Mnich,Florence Hautier,Jocelyne Monier,Jean-François Malet,Maxence Lavergne,Philomène Pagnier;Stéphane Brizé;http://www.imdb.com/title/tt1285246/;Drama,Romance;6.9;2010;CDI;137726;09-09-2010
El mural;;tt1576385;Antonio Armonia,Héctor Olivera;110 min;Buenos Aires, Federal District, Argentina;;;Luis Machín,Carla Peterson,Ana Celentano,Bruno Bichir,Sergio Boris,Camilo Cuello Vitale,Rodrigo Noya,Juan Palomino,Mónica Galán,Luis Campos,Regina Lamm,Francisco Cocuzza,Stella Gallazzi,Marcos Woinsky,Matías Sandor;Héctor Olivera;http://www.imdb.com/title/tt1576385/;Biography,Drama;5.8;2010;n/a;137066;05-20-2010
Le Code a changé;;tt1193088;Christopher Thompson,Danièle Thompson;100 min,100 min (European Film Market);Aubervilliers, Seine-Saint-Denis, France;http://imdb-poster.b0.upaiyun.com/001/193/088.jpg!cover?_upt=3d634a631383795925;So called friends at a dinner party end up acting like a dysfunctional family.;Karin Viard,Dany Boon,Marina Foïs,Patrick Bruel,Emmanuelle Seigner,Christopher Thompson,Marina Hands,Patrick Chesnais,Blanca Li,Laurent Stocker,Pierre Arditi,Jeanne Raimbault,Isabelle Cagnat,Marc Rioufol,Cyrille Eldin;Danièle Thompson;http://www.imdb.com/title/tt1193088/;Comedy,Drama;5.7;2010;Alfa;135715;01-01-2010
Solomon Kane;;tt0970452;Michael J. Bassett,Robert E. Howard;104 min;Barrandov Studios, Prague, Czech Republic;http://imdb-poster.b0.upaiyun.com/000/970/452.jpg!cover?_upt=f4408b111383795926;A ruthless mercenary renounces violence after learning his soul is bound for hell. When a young girl is kidnapped and her family slain by a sorcerer's murderous cult, he is forced to fight and seek his redemption slaying evil.;James Purefoy,Mark O'Neal,Robert Orr,Richard Ryan,Frantisek Deak,Christian Dunckley Clark,Ian Whyte,Thomas McEnchroe,Andrew Whitlaw,Robert Russell,James Babson,Marek Vasut,Geoff Bell,Max von Sydow,Lucas Stone;Michael J. Bassett;http://www.imdb.com/title/tt0970452/;Action,Adventure,Fantasy;6;2010;Alfa;135137;11-25-2010
From Paris with Love;;tt1179034;Adi Hasak,Luc Besson;92 min;Paris, France;http://imdb-poster.b0.upaiyun.com/001/179/034.jpg!cover?_upt=c62578291383795927;In Paris, a young employee in the office of the US Ambassador hooks up with an American spy looking to stop a terrorist attack in the city.;John Travolta,Jonathan Rhys Meyers,Kasia Smutniak,Richard Durden,Bing Yin,Amber Rose Revah,Eric Godon,François Bredon,Chems Dahmani,Sami Darr,Julien Hagnery,Mostéfa Stiti,Rebecca Dayan,Michaël Vander-Meiren,Didier Constant;Pierre Morel;http://www.imdb.com/title/tt1179034/;Action,Crime,Thriller;6.4;2010;n/a;133729;05-06-2010
Ninja Assassin;;tt1186367;Matthew Sand,J. Michael Straczynski;99 min;Berlin, Germany;http://imdb-poster.b0.upaiyun.com/001/186/367.jpg!cover?_upt=6b5d9dbf1383795927;A young ninja turns his back on the orphanage that raised him, leading to a confrontation with a fellow ninja from the clan.;Sung Kang,Randall Duk Kim,Jonathan Chan-Pensley,Ill-Young Kim,Yuki Iwamoto,Ben Miles,Naomie Harris,Rain,Linh Dan Pham,Fang Yu,Adriana Altaras,Shô Kosugi,Kylie Goldstein,Sungwoong Yoon,Eleonore Weisgerber;James McTeigue;http://www.imdb.com/title/tt1186367/;Action,Crime,Thriller;6.3;2010;WB;131003;01-07-2010
L'immortel (22 Bullets);;tt1167638;Franz-Olivier Giesbert,Richard Berry;117 min;Avignon, Vaucluse, France;http://imdb-poster.b0.upaiyun.com/001/167/638.jpg!cover?_upt=589fb8641383795928;A retired mobster goes on a revenge spree after being left for dead with 22 bullets in his body by his former childhood friend.;Jean Reno,Kad Merad,Jean-Pierre Darroussin,Marina Foïs,Joey Starr,Richard Berry,Venantino Venantini,Claude Gensac,Joséphine Berry,Max Baissette de Malglaive,Catherine Samie,Moussa Maaskri,Lucie Phan,Fani Kolarova,Jessica Forde;Richard Berry;http://www.imdb.com/title/tt1167638/;Action,Crime,Thriller;6.6;2010;Alfa;127691;12-09-2010
