Movie;MMAstring2;idimdb;Writers;Runtime;Filming_locations;Poster 1;Plot_simple;Actors;Directors;IMDBurl;Genres;Rating;Year;Distributor;Gross;Release
Confidence;;tt0310910;Doug Jung;97 min;Deep Nightclub - 1707 N. Vine Street, Hollywood, Los Angeles, California, USA;http://imdb-poster.b0.upaiyun.com/000/310/910.jpg!cover?_upt=8b68fc681383794690;Jake Vig (Burns) is a consummate grifter about to pull his biggest con yet, one set to avenge his friend's murder. But his last scam backfired, leaving him indebted to a mob boss (Hoffman) and his enforcer.;Edward Burns,Rachel Weisz,Morris Chestnut,Leland Orser,Louis Lombardi,Paul Giamatti,Brian Van Holt,Donal Logue,Luis Guzmán,April O'Brien,Jay Giannone,Tommy 'Tiny' Lister,Franky G,Dustin Hoffman,Melissa Lawner;James Foley;http://www.imdb.com/title/tt0310910/;Crime,Thriller;6.7;2003;;90203;09-25-2003
Dirty Pretty Things;;tt0301199;Steven Knight;97 min;London, England, UK;http://imdb-poster.b0.upaiyun.com/000/301/199.jpg!cover?_upt=80dd3bc41383794690;An illegal Nigerian immigrant discovers the unpalatable side of London life.;Audrey Tautou,Chiwetel Ejiofor,Sergi López,Sophie Okonedo,Benedict Wong,Kenan Hudaverdi,Damon Younger,Paul Bhattacharjee,Darrell D'Silva,Sotigui Kouyaté,Abi Gouhad,Yemi Ajibade,Barber Ali,Josef Altin,Fisun Burgess;Stephen Frears;http://www.imdb.com/title/tt0301199/;Crime,Drama,Thriller;7.4;2003;;84729;08-21-2003
Punch-Drunk Love;;tt0272338;Paul Thomas Anderson;95 min;Le Petit Chateau - 4615 Lankershim Blvd, North Hollywood, Los Angeles, California, USA;http://imdb-poster.b0.upaiyun.com/000/272/338.jpg!cover?_upt=3e0e08ef1383794691;A psychologically troubled novelty supplier is nudged towards a romance with an English woman, all the while being extorted by a phone-sex line run by a crooked mattress salesman, and purchasing stunning amounts of pudding.;Adam Sandler,Jason Andrews,Don McManus,Emily Watson,Luis Guzmán,David Schrempf,Seann Conway,Rico Bueno,Hazel Mailloux,Karen Kilgariff,Julie Hermelin,Salvador Curiel,Jorge Barahona,Ernesto Quintero,Julius Steuer;Paul Thomas Anderson;http://www.imdb.com/title/tt0272338/;Comedy,Drama,Romance;7.3;2003;;84182;03-21-2003
Soy tu aventura;;tt0361006;Guillermo Hough,Néstor Montalbano;110 min;Buenos Aires, Federal District, Argentina;;;Diego Capusotto,Luis Luque,Luis Aguilé,Verónica Llinás,María Fiorentino,Laura Fidalgo,Clencio Batista,Jorge Marrale,Maira Grillén,Oscar Avelino,Walter Balzarini,Fabio Alberti,Jorge Abitante,Legendario Aguerrido,Antonio Anunziata;Néstor Montalbano,Carola Poceiro;http://www.imdb.com/title/tt0361006/;Comedy,Musical;6.1;2003;;84164;10-16-2003
Narc;;tt0272207;Joe Carnahan;105 min;Detroit, Michigan, USA;http://imdb-poster.b0.upaiyun.com/000/272/207.jpg!cover?_upt=67b998661383794691;When the trail goes cold on a murder investigation of a policeman an undercover narcotics officer is lured back to the force to help solve the case.;Dan Leis,Jason Patric,Lloyd Adams,Meagan Issa,Lina Giornofelice,Alan C. Peterson,Karen Robinson,Chi McBride,Booth Savage,Alan Van Sprang,Gavyn Donaldson,Myles Donaldson,Krista Bridges,Ray Liotta,Thomas Patrice;Joe Carnahan;http://www.imdb.com/title/tt0272207/;Crime,Drama,Thriller;7.2;2003;;80343;08-07-2003
Divine Intervention (Yadon ilaheyya);;tt0870105;Van Elder;100 min;Los Angeles, California, USA;http://imdb-poster.b0.upaiyun.com/000/870/105.jpg!cover?_upt=f126154f1383794692;Reverend Robert Gibbs is a young, hip pastor who temporarily takes over the helm of a Fundamentalist Baptist church while his predecessor Reverend Matthews recovers from a stroke. While ...;Jazsmin Lewis,Wesley Jonathan,Laz Alonso,Roz Ryan,Carl Gilliard,Cynda Williams,Reynaldo Rey,James Avery,Shang Forbes,Jack Chandler,Lisa Dewitt,Van Elder,Eboni Renée Jackson,Kyra Locke,Luenell;Van Elder;http://www.imdb.com/title/tt0870105/;Comedy,Drama,Romance;3.1;2003;;79057;06-26-2003
Elf;;tt0319343;David Berenbaum;97 min;New York City, New York, USA;http://imdb-poster.b0.upaiyun.com/000/319/343.jpg!cover?_upt=c6e6b2fe1383794693;After inadvertently wreaking havoc on the elf community due to his ungainly size, a man raised as an elf at the North Pole is sent to the U.S. in search of his true identity.;Will Ferrell,James Caan,Bob Newhart,Edward Asner,Mary Steenburgen,Zooey Deschanel,Daniel Tay,Faizon Love,Peter Dinklage,Amy Sedaris,Michael Lerner,Andy Richter,Kyle Gass,Artie Lange,Leon Redbone;Jon Favreau;http://www.imdb.com/title/tt0319343/;Comedy,Family,Fantasy,Romance;6.8;2003;;78368;12-11-2003
The Wild Thornberrys;;tt0167743;;30 min (90 episodes);Los Angeles, California, USA;http://imdb-poster.b0.upaiyun.com/000/167/743.jpg!cover?_upt=b40837d31383794694;Eliza Thornberry is not your ordinary kid. It's not just because she travels the world in an RV with her parents Nigel and Marrianne, famous nature show hosts. Eliza is doubly unique ...;Lacey Chabert,Jodi Carlisle,Tim Curry,Danielle Harris,Tom Kane,Flea;;http://www.imdb.com/title/tt0167743/;Animation,Adventure,Comedy,Family,Fantasy;6.6;2003;;78049;01-24-2003
Ararat;;tt0273435;Atom Egoyan;115 min;Calgary, Alberta, Canada;http://imdb-poster.b0.upaiyun.com/000/273/435.jpg!cover?_upt=39a430b61383794694;Interrogated by a customs officer, a young man recounts how his life was changed during the making of a film about the Armenian genocide claims.;Simon Abkarian,Charles Aznavour,Christopher Plummer,Arsinée Khanjian,Setta Keshishian,David Alpay,Shant Srabian,Marie-Josée Croze,Elias Koteas,Brent Carver,Max Morrow,Christie MacFadyen,Dawn Roach,Garen Boyajian,Lousnak Abdalian;Atom Egoyan;http://www.imdb.com/title/tt0273435/;Drama,War;6.6;2003;;70952;05-29-2003
The Life of David Gale;;tt0289992;Charles Randolph;130 min;Austin Studios - 1901 E. 51st Street, Austin, Texas, USA;http://imdb-poster.b0.upaiyun.com/000/289/992.jpg!cover?_upt=ee5b6b4d1383794695;A man against capital punishment is accused of murdering a fellow activist and is sent to death row.;Kate Winslet,Cleo King,Constance Jones,Kevin Spacey,Laura Linney,Lee Ritchey,Gabriel Mann,Matt Craven,Brandy Little,Cindy Waite,Jim Beaver,Leon Rippy,Jesse De Luna,Vernon Grote,Rhona Mitra;Alan Parker;http://www.imdb.com/title/tt0289992/;Drama,Crime,Thriller;7.4;2003;;69819;10-23-2003
Irreversible;;tt0290673;Gaspar Noé;97 min,99 min;Buttes Chaumont, Paris 19, Paris, France;http://imdb-poster.b0.upaiyun.com/000/290/673.jpg!cover?_upt=420b88d71383794695;Events over the course of one traumatic night in Paris unfold in reverse-chronological order as the beautiful Alex is brutally raped and beaten by a stranger in the underpass.;Monica Bellucci,Vincent Cassel,Albert Dupontel,Jo Prestia,Philippe Nahon,Stéphane Drouot,Jean-Louis Costes,Michel Gondoin,Mourad Khima,Hellal,Nato,Fesche,Jara-Millo,Le Quellec,Giami;Gaspar Noé;http://www.imdb.com/title/tt0290673/;Crime,Drama,Mystery,Thriller;7.3;2003;;65393;05-01-2003
Zus & Zo;;tt0245157;Paula van der Oest;106 min;Amsterdam, Noord-Holland, Netherlands;http://imdb-poster.b0.upaiyun.com/000/245/157.jpg!cover?_upt=e7c64b2c1383794696;"Zus &amp; Zo shows what three sisters are willing to do to stop their would-be sister-in-law from coming into possession of Paraíso, their beloved family summer home on the Portuguese coast.";Sylvia Poorta,Anneke Blok,Monic Hendrickx,Jacob Derwig,Halina Reijn,Jaap Spijkers,Theu Boermans,Antje Boermans,Pieter Embrechts,Annet Nieuwenhuyzen,Jorge Do Collo,Mike Reus,Marisa Van Eyle,Tijn Docter,Harpert Michielsen;Paula van der Oest;http://www.imdb.com/title/tt0245157/;Comedy,Fantasy,Romance;6.2;2003;;64758;09-04-2003
Johnny English;;tt0274166;Neal Purvis,Robert Wade;88 min;Abingdon Street Car Park, Westminster, London, England, UK;http://imdb-poster.b0.upaiyun.com/000/274/166.jpg!cover?_upt=6cb393f11383794697;After a sudden attack on the MI5, Johnny English, Britain's most confident yet unintelligent spy, becomes Britain's only spy.;Rowan Atkinson,Tasha de Vasconcelos,Ben Miller,Greg Wise,Douglas McFerran,Steve Nicolson,Terence Harvey,Kevin McNally,Tim Pigott-Smith,Nina Young,Rowland Davies,Natalie Imbruglia,Philippa Fordham,John Malkovich,Tim Berrington;Peter Howitt;http://www.imdb.com/title/tt0274166/;Action,Adventure,Comedy;5.9;2003;;63534;05-08-2003
The Curse of the Jade Scorpion;;tt0256524;Woody Allen;103 min;Los Angeles, California, USA;http://imdb-poster.b0.upaiyun.com/000/256/524.jpg!cover?_upt=97505b1a1383794698;An insurance investigator and an efficency expert who hate each other are both hypnotized by a crooked hypnotist with a jade scorpion into stealing jewels.;John Tormey,John Schuck,Woody Allen,Elizabeth Berkley,Kaili Vernoff,Brian Markinson,Maurice Sonnenberg,John Doumanian,Peter Gerety,Helen Hunt,Kevin Cahoon,Philip Levy,Wallace Shawn,Dan Aykroyd,Vince Giordano;Woody Allen;http://www.imdb.com/title/tt0256524/;Comedy,Crime,Mystery;6.6;2003;;61722;03-14-2003
Musime si pomahat (Divided We Fall);;tt0234288;Jan Hrebejk,Petr Jarchovský;120 min;Jaromer, Czech Republic;http://imdb-poster.b0.upaiyun.com/000/234/288.jpg!cover?_upt=ddfe666a1383794699;In Nazi occupied Czechoslovakia, a childless couple agree to hide a Jewish friend at great personal risk of discovery and execution.;Bolek Polívka,Anna Sisková,Csongor Kassai,Jaroslav Dusek,Martin Huba,Jirí Pecha,Simona Stasová,Vladimir Marek,Richard Tesarík,Karel Hermánek,Otto Sevcík,Jirí Kodet,Petr Knotek,Helena Neuwirthová,Nelly Kocarjan;Jan Hrebejk;http://www.imdb.com/title/tt0234288/;Comedy,Drama,War;7.6;2003;;59906;05-08-2003
The Good Thief;;tt0281820;Auguste Le Breton,Jean-Pierre Melville;108 min;Le Bar-sur-Loup, Alpes-Maritimes, France;http://imdb-poster.b0.upaiyun.com/000/281/820.jpg!cover?_upt=d19bf30a1383794699;An aging gambler on a losing streak attempts to rob a casino in Monte Carlo. But someone's already tipped off the cops before he even makes a move.;Nutsa Kukhianidze,Ouassini Embarek,Marc Lavoine,Nick Nolte,Tchéky Karyo,Gérard Darmon,Saïd Taghmaoui,Patricia Kell,Julien Maurel,Emir Kusturica,Roland Munter,Warren Zavatta,Théo Trifard,Sarah Bridges,Nicolas Dromard;Neil Jordan;http://www.imdb.com/title/tt0281820/;Crime,Drama,Thriller;6.5;2003;;59507;10-30-2003
Dumb and Dumberer: When Harry Met Lloyd;;tt0329028;Peter Farrelly,Bennett Yellin;85 min;Los Angeles, California, USA;http://imdb-poster.b0.upaiyun.com/000/329/028.jpg!cover?_upt=773adb901383794700;Set back in the 80s when Harry met Lloyd in high school where they cross paths with a mean principal and a bunch of other outcasts much like themselves.;Timothy Stack,Mimi Rogers,Wayne Federman,Lucas Gregory,Derek Richardson,Eric Christian Olsen,Luis Guzmán,Rachel Nichols,Elden Henson,Eugene Levy,Cheri Oteri,Holly Towne,Josh Braaten,Vahe Manoukian,William Lee Scott;Troy Miller;http://www.imdb.com/title/tt0329028/;Comedy;3.3;2003;;58215;12-04-2003
The Man from Elysian Fields;;tt0265307;Phillip Jayson Lasker;106 min,97 min (TV);Hollywood, Los Angeles, California, USA;http://imdb-poster.b0.upaiyun.com/000/265/307.jpg!cover?_upt=145884851383794700;A failed novelist's inability to pay the bills strains relations with his wife and leads him to work at an escort service where he becomes entwined with a wealthy woman whose husband is a successful writer.;Andy Garcia,Mick Jagger,Julianna Margulies,Olivia Williams,James Coburn,Michael Des Barres,Richard Bradford,Anjelica Huston,Xander Berkeley,Sherman Howard,Joe Santos,Susan Barnes,Tracey Walter,Asha Siewkumar,Kerry Li;George Hickenlooper;http://www.imdb.com/title/tt0265307/;Drama,Romance;6.6;2003;;56825;04-18-2003
Sur mes lèvres (Read My Lips);;tt0274117;Jacques Audiard,Tonino Benacquista;115 min;France;http://imdb-poster.b0.upaiyun.com/000/274/117.jpg!cover?_upt=41749e0d1383794701;She is almost deaf and she lip-reads. He is an ex-convict. She wants to help him. He thinks no one can help except himself.;Vincent Cassel,Emmanuelle Devos,Olivier Gourmet,Olivier Perrier,Olivia Bonamy,Bernard Alane,Céline Samie,Pierre Diot,François Loriquet,Serge Onteniente,David Saracino,Christophe Vandevelde,Bô Gaultier de Kermoal,Loïc Le Page,Nathalie Lacroix;Jacques Audiard;http://www.imdb.com/title/tt0274117/;Crime,Drama,Romance,Thriller;7.3;2003;;53776;06-12-2003
Open Range;;tt0316356;Lauran Paine,Craig Storper;139 min;Alberta, Canada;http://imdb-poster.b0.upaiyun.com/000/316/356.jpg!cover?_upt=5a047ded1383794703;A former gunslinger is forced to take up arms again when he and his cattle crew are threatened by a corrupt lawman.;Robert Duvall,Kevin Costner,Annette Bening,Michael Gambon,Michael Jeter,Diego Luna,James Russo,Abraham Benrubi,Dean McDermott,Kim Coates,Herb Kohler,Peter MacNeill,Cliff Saunders,Patricia Stutz,Julian Richings;Kevin Costner;http://www.imdb.com/title/tt0316356/;Action,Romance,Western;7.4;2003;;52314;11-20-2003
Hjælp, jeg er en fisk (Help! I'm a Fish);;;;;;;;;;;;;2003;;49621;01-17-2003
El Crimen del Padre Amaro;;tt313196;Vicente Leñero,Eça de Queirós;118 min;Coatepec, Veracruz, Mexico;http://imdb-poster.b0.upaiyun.com/000/313/196.jpg!cover?_upt=189222201383794704;Politics and sexual passions threaten to corrupt a young, newly-ordained priest in a small Mexican town.;Gael García Bernal,Ana Claudia Talancón,Sancho Gracia,Angélica Aragón,Luisa Huertas,Ernesto Gómez Cruz,Gastón Melo,Damián Alcázar,Andrés Montiel,Gerardo Moscoso,Alfredo Gonzáles,Pedro Armendáriz Jr.,Verónica Langer,Lorenzo de Rodas,Roger Nevares;Carlos Carrera;http://www.imdb.com/title/tt0313196/;Drama,Romance;6.8;2003;;49037;01-10-2003
Nicotina;;tt0337930;Martín Salinas;93 min;Mexico City, Distrito Federal, Mexico;http://imdb-poster.b0.upaiyun.com/000/337/930.jpg!cover?_upt=cc3ec9d61383794706;A real-time dark comedy about a science geek who tangles with a clutch of Russian gangsters after he delivers them the wrong computer disk.;Diego Luna,Lucas Crespi,Norman Sotolongo,Jesús Ochoa,Martha Tenorio,Rafael Inclán,Rosa María Bianchi,José María Yazpik,Marta Belaustegui,Eugenio Montessoro,Carmen Madrid,Daniel Giménez Cacho,Alexis Sánchez,Jorge Zárate,Enoc Leaño;Hugo Rodríguez;http://www.imdb.com/title/tt0337930/;Action,Comedy,Crime,Drama;6.6;2003;;47245;10-23-2003
800 balas;;tt292886;Jorge Guerricaechevarría,Álex de la Iglesia;124 min;Almería, Andalucía, Spain;http://imdb-poster.b0.upaiyun.com/000/292/886.jpg!cover?_upt=10146f911383794706;Julián Torralba is a former movie stuntman in Almeria, Spain. He and several of his colleagues, who once made a living in American Westerns shot in Spain, now are reduced to doing stunt ...;Sancho Gracia,Ángel de Andrés López,Carmen Maura,Eusebio Poncela,Luis Castro,Manuel Tallafé,Enrique Martínez,Luciano Federico,Eduardo Gómez,Terele Pávez,Ramón Barea,Cesáreo Estébanez,Eduardo Antuña,Gracia Olayo,Berta Ojea;Álex de la Iglesia;http://www.imdb.com/title/tt0292886/;Action,Comedy,Drama;6.2;2003;;46752;09-18-2003
Real Women Have Curves;;tt0296166;Josefina Lopez,George LaVoo;90 min;;http://imdb-poster.b0.upaiyun.com/000/296/166.jpg!cover?_upt=43bb1df91383794707;This is the story of Ana, a first generation Mexican-American teenager on the verge of becoming a woman. She lives in the predominately Latino community of East Los Angeles. Freshly ...;America Ferrera,Lupe Ontiveros,Ingrid Oliu,George Lopez,Brian Sites,Soledad St. Hilaire,Lourdes Perez,Jorge Cervera Jr.,Felipe de Alba,José Gerardo Zamora Jr.,Edgar Lujan,Lina Acosta,Celina Belizan,Ramona Garcia Coronado,Marlene Forte;Patricia Cardoso;http://www.imdb.com/title/tt0296166/;Comedy,Drama;6.8;2003;;46693;12-25-2003
El Juego de Arcibel;;tt317772;Daniel García Molt,Alberto Lecchi;115 min;San Luis, Argentina;;;Darío Grandinetti,Diego Torres,Juan Echanove,Juan Diego,Rebeca Cobos,Vladimir Cruz,Enrique Quiñones,Alejandro Trejo,Gabriel Rovito,Vando Villamil,Lourdes Abalo,Paola Falcone,Carmen Disa Gutiérrez,Oscar Di Sisto,Juan J. Masramon;Alberto Lecchi;http://www.imdb.com/title/tt0317772/;Drama,Fantasy;6.7;2003;;46512;05-29-2003
L'Adversaire;;tt1844706;;;;;;;;http://www.imdb.com/title/tt1844706/;Short;;2003;;43172;09-18-2003
En la ciudad sin límites;;;;;;;;;;;;;2003;;42567;06-26-2003
El Polaquito;;tt0283552;Juan Carlos Desanzo,Lito Espinosa;92 min;Buenos Aires, Federal District, Argentina;http://imdb-poster.b0.upaiyun.com/000/283/552.jpg!cover?_upt=4843a7391383794710;"At age 13, a street kid known as ""El Polaquito"" makes his living mostly by singing tangos (originally sung by his namesake, the singer ""El Polaco"") on Buenos Aires commuter trains. He falls...";Abel Ayala,Marina Glezer,Fabián Arenillas,Fernando Roa,Rolly Serrano,Víctor Hugo Carrizo,Osvaldo Sanders;Juan Carlos Desanzo;http://www.imdb.com/title/tt0283552/;Drama;6.7;2003;;40419;10-09-2003
Thirteen;;tt0328538;Catherine Hardwicke,Nikki Reed;100 min;California, USA;http://imdb-poster.b0.upaiyun.com/000/328/538.jpg!cover?_upt=2d7b4f001383794711;A thirteen-year-old girl's relationship with her mother is put to the test as she discovers drugs, sex, and petty crime in the company of her cool but troubled best friend.;Nikki Reed,Evan Rachel Wood,Vanessa Hudgens,Holly Hunter,Brady Corbet,Ulysses Estrada,Sarah Blakley-Cartwright,Jenicka Carey,Sarah Clarke,Jasmine Di Angelo,Tessa Ludwick,Kip Pardue,Cece Tsou,Jeremy Sisto,Jamison Yang;Catherine Hardwicke;http://www.imdb.com/title/tt0328538/;Biography,Drama;6.8;2003;;39380;11-13-2003
Japon;;tt0252562;Erdogan Tünas;89 min;;;;Kemal Sunal,Fatma Girik,Sümer Tilmaç,Asuman Arsan,Reha Yurdakul,Tuncer Sevi,Necdet Yakin,Mitsiu Hamaya;Kartal Tibet;http://www.imdb.com/title/tt0252562/;Comedy,Romance,Sci-Fi;6.1;2003;;38804;07-03-2003
Respiro;;tt0286516;Emanuele Crialese;95 min,90 min;Lampedusa, Italy;http://imdb-poster.b0.upaiyun.com/000/286/516.jpg!cover?_upt=28f1914d1383794713;On an impoverished Italian island, a free-spirited woman is accused of madness by townspeople fed up with her antics.;Valeria Golino,Vincenzo Amato,Francesco Casisa,Veronica D'Agostino,Filippo Pucillo,Muzzi Loffredo,Elio Germano,Avy Marciano,Giuseppe del Volgo,Matteo Solina,Vincenzo Barreca,Sam Nessim,Pasquale De Rubels,Francesco Edoardo Anglieri,Andrea Barreca;Emanuele Crialese;http://www.imdb.com/title/tt0286516/;Drama;6.9;2003;;35828;07-10-2003
Balzac et la petite tailleuse chinoise (Balzac and the Little Chinese Seamstress);;tt0291032;Sijie Dai;110 min,116 min;Fenghuan, Hunan, China;http://imdb-poster.b0.upaiyun.com/000/291/032.jpg!cover?_upt=5dffaa2c1383794715;"Two youths sent for a Maoist ""re-education"" in the mountains fall in love with the village tailor's granddaughter.";Xun Zhou,Ye Liu,Kun Chen,Shuangbao Wang,Zhijun Cong,Hongwei Wang,Xiong Xiao,Zuohui Tang,Wei Chen,Tianlu Chen,Qing-yun Fan,Jie Min,He Zhang,Yukun Xu,Lina Mei;Sijie Dai;http://www.imdb.com/title/tt0291032/;Biography,Drama,Romance;7;2003;;34406;09-04-2003
Morvern Callar;;tt0300214;Liana Dognini,Lynne Ramsay;97 min;Almería, Andalucía, Spain;http://imdb-poster.b0.upaiyun.com/000/300/214.jpg!cover?_upt=c8906cc81383794715;Following her boyfriend's suicide, supermarket clerk Morvern Callar passes off his unpublished novel as her own. With the money her boyfriend left for his funeral, she leaves Scotland for ...;Samantha Morton,Kathleen McDermott,Paul Popplewell,Ruby Milton,Dolly Wells,Dan Cadan,Carolyn Calder,Raife Patrick Burchell,Steve Cardwell,Bryan Dick,El Carrette,Andrew Flanagan,Des Hamilton,Mette Karlsvik,Andrew Knowles;Lynne Ramsay;http://www.imdb.com/title/tt0300214/;Drama;6.5;2003;;33686;06-05-2003
Possession;;tt0256276;A.S. Byatt,David Henry Hwang;102 min;Athenaeum Club, Pall Mall, St. James's, London, England, UK;http://imdb-poster.b0.upaiyun.com/000/256/276.jpg!cover?_upt=9f14f1571383794716;A pair of literary sleuths unearth the amorous secret of two Victorian poets only to find themselves falling under a passionate spell.;Gwyneth Paltrow,Aaron Eckhart,Jeremy Northam,Jennifer Ehle,Lena Headey,Holly Aird,Toby Stephens,Trevor Eve,Tom Hickey,Georgia Mackenzie,Tom Hollander,Graham Crowden,Anna Massey,Craig Crosbie,Christopher Good;Neil LaBute;http://www.imdb.com/title/tt0256276/;Romance,Drama,Mystery;6.2;2003;;31613;03-28-2003
Rabbit-Proof Fence;;tt0252444;Doris Pilkington,Christine Olsen;94 min;Adelaide, South Australia, Australia;http://imdb-poster.b0.upaiyun.com/000/252/444.jpg!cover?_upt=82175d761383794717;In 1931, three aboriginal girls escape after being plucked from their homes to be trained as domestic staff and set off on a trek across the Outback.;Everlyn Sampi,Tianna Sansbury,Laura Monaghan,David Gulpilil,Ningali Lawford,Myarn Lawford,Deborah Mailman,Jason Clarke,Kenneth Branagh,Natasha Wanganeen,Garry McDonald,Roy Billing,Lorna Lesley,Celine O'Leary,Kate Roberts;Phillip Noyce;http://www.imdb.com/title/tt0252444/;Adventure,Drama,History;7.4;2003;;29918;04-18-2003
Être et avoir (To Be and to Have);;tt0318202;;104 min,105 min;Saint-Etienne-sur-Usson, Puy-de-Dôme, France;http://imdb-poster.b0.upaiyun.com/000/318/202.jpg!cover?_upt=d05e5dd41383794717;A documentary portrait of a one-room school in rural France, where the students (ranging in age from 4 to 11) are educated by a single dedicated teacher.;Georges Lopez,Alizé,Axel Thouvenin,Guillaume,Jessie,Johan,Johann,Jonathan,Julien,Laura,Létitia,Marie-Elizabeth,Nathalie,Olivier,Franck;Nicolas Philibert;http://www.imdb.com/title/tt0318202/;Documentary,Family;7.7;2003;;28818;10-30-2003
Plots with a View;;tt298504;Fred Ponzlov;94 min (Dinard Festival of British Cinema);Caldicot, Monmouthshire, Wales, UK;http://imdb-poster.b0.upaiyun.com/000/298/504.jpg!cover?_upt=2ec0cc2a1383794718;A woman, whose husband is cheating on her, and an undertaker, who has been in love with her since their childhood, decide to fake her death so they can be together.;Hannah Higgins,Joshua Jenkins,Shaun Phillips,Alfred Molina,Brenda Blethyn,Robert Pugh,Menna Trussler,Jerry Springer,Naomi Watts,Lee Evans,Christopher Walken,Lennie Huhtala,Padrig Owen Jones,Miriam Margolyes,Stan Stennet;Nick Hurran;http://www.imdb.com/title/tt0298504/;Comedy,Romance;6.5;2003;;26982;09-18-2003
The Magdalene Sisters;;tt0318411;Peter Mullan;119 min;"Dumfries &amp; Galloway, Scotland, UK";http://imdb-poster.b0.upaiyun.com/000/318/411.jpg!cover?_upt=ef7f66f01383794719;Three young Irish women struggle to maintain their spirits while they endure dehumanizing abuse as inmates of a Magdalene Sisters Asylum.;Geraldine McEwan,Anne-Marie Duff,Nora-Jane Noone,Dorothy Duffy,Eileen Walsh,Mary Murray,Britta Smith,Frances Healy,Eithne McGuinness,Phyllis MacMahon,Rebecca Walsh,Eamonn Owens,Chris Patrick-Simpson,Sean Colgan,Daniel Costello;Peter Mullan;http://www.imdb.com/title/tt0318411/;Drama;7.7;2003;;24949;08-28-2003
White Oleander;;tt0283139;Janet Fitch,Mary Agnes Donoghue;109 min;Santa Clarita, California, USA;http://imdb-poster.b0.upaiyun.com/000/283/139.jpg!cover?_upt=95108c8f1383794719;A teenager journeys through a series of foster homes after her mother goes to prison for committing a crime of passion.;Amy Aquino,John Billingsley,Elisa Bocanegra,Darlene Bohorquez,Solomon Burke Jr.,Scott Allan Campbell,Sam Catlin,Debra Christofferson,Billy Connolly,Marc Donato,Svetlana Efremova,Patrick Fugit,Vernon Haas,Sean Happy,Cole Hauser;Peter Kosminsky;http://www.imdb.com/title/tt0283139/;Drama;7;2003;;22924;03-28-2003
Iris;;tt0280778;John Bayley,Richard Eyre;91 min;Magpie Lane, Oxford, Oxfordshire, England, UK;http://imdb-poster.b0.upaiyun.com/000/280/778.jpg!cover?_upt=52d47f891383794720;True story of the lifelong romance between novelist Iris Murdoch and her husband John Bayley, from their student days through her battle with Alzheimer's disease.;Kate Winslet,Hugh Bonneville,Judi Dench,Jim Broadbent,Eleanor Bron,Angela Morant,Penelope Wilton,Siobhan Hayes,Juliet Aubrey,Joan Bakewell,Nancy Carroll,Kris Marshall,Tom Mannion,Derek Hutchinson,Samuel West;Richard Eyre;http://www.imdb.com/title/tt0280778/;Biography,Drama,Romance;7;2003;;21989;09-04-2003
El Séptimo arcángel;;;;;;;;;;;;;2003;;20376;09-04-2003
Knafayim Shvurot (Broken Wings);;tt0317842;Nir Bergman;87 min;Carmelit Subway, Haifa, Israel;http://imdb-poster.b0.upaiyun.com/000/317/842.jpg!cover?_upt=be122a651383794721;Daphne and her four children try to cope with the abrupt death of husband/father. As the family seems to fall apart, a sudden incident gives them a chance to heal their 'broken wings'.;Orly Silbersatz Banai,Maya Maron,Daniel Magon,Nitai Gvirtz,Eliana Magon,Vladimir Friedman,Dana Ivgy,Yarden Bar-Kochba,Danny Niv,Orit Boger,Nimrod Cohen,Eitan Green,Martin Umanski,Shira Vilensky,Lobo Wizner;Nir Bergman;http://www.imdb.com/title/tt0317842/;Drama;7.2;2003;;18760;10-23-2003
Volverás;;tt70890;Antonio Fos,Gabriel Moreno Burgos;89 min;;;;Raphael,Isela Vega,Héctor Suárez,Verónica Castro,Alfredo Mayo,Armando Silvestre,Luis Gaspar,Fabián,Maribel Hidalgo;Javier Aguirre;http://www.imdb.com/title/tt0070890/;Drama;5.2;2003;;18449;07-31-2003
Comment j'ai tué mon père;;;;;;;;;;;;;2003;;17402;02-28-2003
Agent Cody Banks;;tt0313911;Ashley Miller,Zack Stentz;102 min;Burnaby, British Columbia, Canada;http://imdb-poster.b0.upaiyun.com/000/313/911.jpg!cover?_upt=97e365a01383794723;A government agent trains Cody Banks in the ways of covert operations that require younger participants.;Frankie Muniz,Hilary Duff,Angie Harmon,Keith David,Cynthia Stevenson,Arnold Vosloo,Daniel Roebuck,Ian McShane,Darrell Hammond,Martin Donovan,Marc Shelton,Chris Gauthier,Harry Van Gorkum,Connor Widdows,Eliza Norbury;Harald Zwart;http://www.imdb.com/title/tt0313911/;Action,Adventure,Comedy,Crime,Family,Romance,Thriller;5;2003;;16468;08-14-2003
Tan de repente;;tt324158;César Aira,Diego Lerman;90 min (Buenos Aires Festival Internacional de Cine Independiente),90 min;Buenos Aires, Federal District, Argentina;http://imdb-poster.b0.upaiyun.com/000/324/158.jpg!cover?_upt=b24dc1db1383794724;"An Argentinian Dutch and Latin Comedy Drama where a young naive girl Marcia (Tatiana Saphir) learns about her sexuality. Marcia is kidnapped by 2 punk women Mao (Carla Crespo)&amp; Veronica ...";Tatiana Saphir,Carla Crespo,Veronica Hassan,Beatriz Thibaudin,María Merlino,Marcos Ferrante,Ana María Martínez,Susana Pampin,Luis Herrera,Laura Mantel;Diego Lerman;http://www.imdb.com/title/tt0324158/;Comedy,Drama;6.4;2003;;16036;06-19-2003
La Vérité si je mens! 2;;;;;;;;;;;;;2003;;15700;04-18-2003
